radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,212,10,12603,5320,0,7.412338,43.729019,1000,2,1,1489188323,1490927767,0
LTE,212,10,12603,5230,0,7.4178314208984,43.730392456055,1000,1,1,1489166285,1489166285,0
LTE,212,10,12603,16614,0,7.413025,43.728333,1000,2,1,1489188323,1490927767,0
LTE,212,10,12603,4293,0,7.4192047119141,43.737258911133,1000,1,1,1489166285,1489166285,0
LTE,212,10,12603,5322,0,7.4164581298828,43.73176574707,1000,1,1,1489166290,1489166290,0
LTE,212,10,12603,5321,0,7.4178314208984,43.730392456055,1000,1,1,1489166285,1489166285,0
LTE,212,10,12603,7643,0,7.4260711669922,43.74137878418,1000,1,1,1489581190,1489581190,0
LTE,212,10,12603,14316,0,7.4068450927734,43.726272583008,1000,1,1,1489581190,1489581190,0
LTE,212,10,12603,14144,0,7.430946,43.748137,1000,2,1,1490328950,1548076533,0
LTE,212,10,12603,7746,0,7.4150848388672,43.74137878418,1000,1,1,1490328950,1490328950,0
LTE,212,10,12603,10052,0,7.446847,43.756512,1355,2,1,1490328945,1548076489,0
LTE,212,10,12603,5181,0,7.4178314208984,43.742752075195,1000,1,1,1490328950,1490328950,0
UMTS,212,10,12603,279396,0,7.435684,43.749619,1000,2,1,1490432833,1490869953,0
UMTS,212,10,12603,273206,0,7.428307,43.743407,1000,2,1,1490869953,1548076013,0
LTE,212,10,12603,3729,0,7.4082183837891,43.727645874023,1000,1,1,1490927767,1490927767,0
LTE,212,10,12603,3728,0,7.4123382568359,43.730392456055,1000,1,1,1490927767,1490927767,0
LTE,212,10,12603,16549,0,7.4068450927734,43.724899291992,1000,1,1,1490927767,1490927767,0
UMTS,212,1,15100,76987,0,21.15954,42.648033,1000,1,1,1505410202,1505415228,0
UMTS,212,1,15100,76719,0,21.159492,42.648048,1000,1,1,1505410202,1505415229,0
UMTS,212,1,100,76719,0,21.159492,42.648048,1000,1,1,1505410203,1505415229,0
UMTS,212,1,15100,76558,0,21.159081,42.649252,1000,2,1,1493569371,1493569371,0
GSM,212,1,100,33091,-1,21.159569,42.648033,1000,1,1,1505410214,1505415256,0
UMTS,212,1,15100,76599,0,21.161402,42.660783,1000,3,1,1493636797,1493636797,0
LTE,212,1,30102,414722,0,21.457794,42.466881,1000,1,1,1505419053,1505421566,0
UMTS,212,1,208,2147483647,0,20.73938,42.47826,1000,1,1,1505490783,1505490844,0
UMTS,212,1,208,1580031533,0,20.765579,42.465519,1000,1,1,1505491600,1505491661,0
UMTS,212,1,208,1507940833,0,20.76561,42.465549,1000,1,1,1505496925,1505496989,0
GSM,212,1,107,29515,-1,20.718812,42.195565,1000,4,1,1493794760,1493794760,0
GSM,212,1,107,28015,-1,20.720391,42.199488,1183,17,1,1494761649,1494761649,0
UMTS,212,1,15205,0,0,20.278856,42.661296,1434,18,1,1494180660,1494180660,0
UMTS,212,1,15100,76849,0,21.152088,42.632465,1000,1,1,1505867212,1505867212,0
UMTS,212,1,15100,76937,0,21.127962,42.646408,1000,1,1,1505868679,1505868679,0
UMTS,212,1,15100,76738,0,21.164103,42.665627,1000,2,1,1494597453,1494597453,0
GSM,212,1,107,21985,-1,20.718289,42.199018,1000,7,1,1494780982,1494780982,0
UMTS,212,1,15100,77037,0,21.108805,42.587873,1000,9,1,1492540200,1494285116,0
LTE,212,1,30100,424961,0,21.108798,42.588126,1000,2,1,1492540200,1492540200,0
GSM,212,1,107,15085,-1,20.678266,42.27593,1525,4,1,1492540200,1492540200,0
GSM,212,1,106,22815,-1,20.42695,42.381165,1000,1,1,1492540200,1492540200,0
GSM,212,1,106,22985,-1,20.42695,42.381165,1000,1,1,1492540200,1492540200,0
GSM,212,1,106,38385,-1,20.427161,42.381382,1000,2,1,1492540200,1492540200,0
